group,number,name,match1_score,match2_score,member1,member2,member3,image
A,1,SAKURA MOONLIGHT,,,ToMo.,Cosmos,T_SAY,Image/team-a1.png
A,2,無限会社 幻会興業,,,kamelra,439ra-yozakura,The Gold,Image/team-a2.png
A,3,限界人外村,,,チタヌス,おぺらむ_maru,-Noiré-,Image/team-a3.png
A,4,チーム篝火,,,ほくと,骨付き肉,犬好アトム,Image/team-a4.png
A,5,SEISO NO OWARI,,,-でるふ-,ななつ,わたきち,Image/team-a5.png
A,6,It’s MyGO!!!!!,,,ひよこぴよぴよ,神威ユウキ,ちーぬちゃん,Image/team-a6.png
A,7,旅館 ‐撫でし子‐,,,アズ,むぎ,りゅう,Image/team-a7.png
A,8,ホラーワールド調査隊,,,,,,Image/team-a8.png
B,1,バメッサ喫茶〜Andante〜,,,,,,Image/team-b1.png
B,2,静岡ケンミン集会,,,ひなぽお,チーク_JP,おその106,Image/team-b2.png
B,3,悪役結社ヴァリアール,,,プレイボーン,造音シーエΛ,ウサガエルス,Image/team-b3.png
B,4,イマーシブクラウド,,,望月びん,ぎずも・パンッ,めちゃめちゃしらす,Image/team-b4.png
B,5,人外系でなんかやってる人たち,,,冬生（Tousei）,KAGEN_SAN,Cafe Barista4,Image/team-b5.png
B,6,メガネアバターを広める会,,,想夏,しゃりこw,かたかな,Image/team-b6.png
B,7,ONEchance,,,Siyuri-しゆり,栗花落理,あぢゃむ,Image/team-b7.png
B,8,方瀬高校 放課後卓上遊戯倶楽部,,,なみどめ,パインサラダ,ささかまぼこ,Image/team-b8.png
C,1,ゆるゲMEET,,,heyhey_t,わざき（wazakkyd）,あらぁしお_3297,Image/team-c1.png
C,2,雅縁寝子座,,,雅にゃこ,Lu-nyan,Ruki,Image/team-c2.png
C,3,絵本の平行世界,,,DECO,kurokikori,machaponn,Image/team-c3.png
C,4,VRCお笑い道場,,,audaman,笹喰い,エージェントSATAN,Image/team-c4.png
C,5,VRChat関西部,,,きょん,紅月,dokuren,Image/team-c5.png
C,6,VRC初心者ワールドツアー,,,アロス,みら・りーぶら,ボルカノ,Image/team-c6.png
C,7,はじめての迷子,,,,,,Image/team-c7.png
C,8,アンバサダー愚連隊,,,いななほ,Sasugo,メアリ,Image/team-c8.png
D,1,劇団コネクトクルー,,,Nobart,フィクスちゃん,S4S4S3,Image/team-d1.png
D,2,VRCイベント推しえ合おう交流会,,,dairavu,フィリアス・ノンナ,Tanu²_25,Image/team-d2.png
D,3,Chrono × Chronicle,,,JEIDASU,kaden-Lv777,シエンヘイ,Image/team-d3.png
D,4,おうちめすがき,,,なのは,双葉むう,ベルアリア,Image/team-d4.png
D,5,ロリっ子喫茶ぷぷりえ,,,まことポニーテール,YTJVDCM,ひらくぅ。,Image/team-d5.png
D,6,『OKEANOS GROUP』,,,ひうご。,ネコノヒゲ,kyaname,Image/team-d6.png
D,7,ＶＲＣキャストリンク,,,ペペ3a,根岸,Alexiel11,Image/team-d7.png
D,8,VR劇団 纏愚連-TenGuRen-,,,よつば。,ともよろう,珈茶ユヅカ,Image/team-d8.png
