tier,rank,award_name,prize_name,provider,provider_url,image
ranking,1st,1st Place,VazaRでの使用可能「2000引きクーポン」×3,Virtual Party,,
ranking,2nd,2nd Place,VazaRでの使用可能「2000引きクーポン」×2,Virtual Party,,
ranking,3rd,3rd Place,VazaRでの使用可能「2000引きクーポン」×1,Virtual Party,,
special,,VRCキャストリンク賞,2000円までのVazaR内ゲーム1品,VRCキャストリンク,,
special,,ベストチームワーク賞,2000円までのVazaR内ゲーム1品,イベント応援団体『EVENesT』,,
pool,No.1,,アンドエスティメタバースの3D商品お好きなもの（フルセットOK）,アンドエスティメタバース,,
pool,No.2,,アンドエスティメタバースの3D商品お好きなもの（フルセットOK）,アンドエスティメタバース,,
pool,No.3,,VRChat＋（VRChat Plus）1ヶ月分,NUNUPC,,
pool,No.4,,VRChat＋（VRChat Plus）1ヶ月分,NUNUPC,,
pool,No.5,,VRChat＋（VRChat Plus）1ヶ月分,NUNUPC,,
pool,No.6,,ショップから好きなのを1点,異界商店,,
pool,No.7,,ショップから好きなのを1点,異界商店,,
pool,No.8,,ショップから好きなのを1点,カロン工房,,
pool,No.9,,ショップから好きなのを1点,カロン工房,,
pool,No.10,,ショップから好きなのを1点,ナマズ工廠,,
pool,No.11,,ショップから好きなのを1点,ナマズ工廠,,
pool,No.12,,ショップから好きなのを1点,ナマズ工廠,,
pool,No.13,,ヘラクレスリッキーブルー,猫又製作所,,
pool,No.14,,アクティオンゾウカブト,猫又製作所,,
pool,No.15,,マンディブラリスフタマタクワガタ,猫又製作所,,
pool,No.16,,淡恋コーデ」フルパック,Rest,,
pool,No.17,,PhysBone Editor -PhyBoneをまとめて操作!エディタービューワー-,fatdesign,,
pool,No.18,,【VRChat想定武器/MA対応】Le ciel -Neige-【魔法の短剣&パーティクル魔法ギミック/Particle System】【エクまじっくぷらすつーっ！(エク専用プレハブ)付き】,ゆきつねのお宿,,
pool,No.19,,ショップから好きなのを1点,二階建て倉庫,,
pool,No.20,,ショップから好きなのを1点,Through the Looking-Glass,,
pool,No.21,,ショップから好きなのを1点,Through the Looking-Glass,,
pool,No.22,,ショップから好きなのを1点,下忍ヒビキの隠れ里,,
pool,No.23,,ショップから好きなのを1点,下忍ヒビキの隠れ里,,
pool,No.24,,鬼灯狐灯【ギミック付双銃】,妖具屋零れ桜,,
pool,No.25,,鬼灯狐灯【ギミック付双銃】,妖具屋零れ桜,,
pool,No.26,,ショップから好きなのを1点,ゆめうつつクローゼット,,
pool,No.27,,ショップから好きなのを1点,ゆめうつつクローゼット,,
pool,No.28,,ミュリシア,MONUMENTS.もにゅめんつ,,
pool,No.29,,リルモワ,MONUMENTS.もにゅめんつ,,
pool,No.30,,ショップから好きなのを1点,NekoNoNaguriai,,
pool,No.31,,Hearse-Man Mk-2,Isp Tec Company,,
pool,No.32,,超鋼鉄 ハイガードG,Isp Tec Company,,
pool,No.33,,SNIPER RIFLE M700,Isp Tec Company,,
pool,No.34,,オールドアメリカンピストル,Isp Tec Company,,
pool,No.35,,COMBAT SHOTGUN,Isp Tec Company,,
pool,No.36,,軍用小型ヘリコプター,Isp Tec Company,,
pool,No.37,,暗いトンネルを移動中の工業用トラム,Isp Tec Company,,
pool,No.38,,がいかくファイアパターン【９アバター対応】,Spices,,
pool,No.39,,いたずらウィンド【10アバター対応】,Spices,,
pool,No.40,,はぐれキャミベイス【19アバター対応,Spices,,
pool,No.41,,アバドン -Abaddon-,昭和メトロ,,
pool,No.42,,アバドン -Abaddon-,昭和メトロ,,
pool,No.43,,ショップから好きなのを3点,ショップみしま,,
pool,No.44,,ショップから好きなのを3点,ショップみしま,,
pool,No.45,,ショップから好きなのを3点,ショップみしま,,
pool,No.46,,ショップから好きなのを1点,茶屋はるどりのおみやげ屋,,
pool,No.47,,夏を感じるアイスキャンディー,ゆめゆめめ,,
pool,No.48,,夏を感じるアイスキャンディー,ゆめゆめめ,,
pool,No.49,,夏を感じるアイスキャンディー,ゆめゆめめ,,
pool,No.50,,ぱや毛ねこの『みけ』,すもももももももものうち,,
pool,No.51,,もふもふねこちゃんアバター 『もふねこ』,すもももももももものうち,,
pool,No.52,,「秋茜」＋【リミリア、エルキュナ２、しなの対応】当世具足,蜻蛉堂,,
pool,No.53,,「秋茜」＋【リミリア、エルキュナ２、しなの対応】当世具足,蜻蛉堂,,
pool,No.54,,三連式可変荷電粒子砲Gimmick【Worzeus】,木炭商店,,
pool,No.55,,柳葉刀＆青龍偃月刀Gimmick【創龍偃月刀＆創螭大牙矛】＋柳葉刀＆両刃刀Gimmick【双頭龍互極刀】,木炭商店,,
pool,No.56,,"Buster Gimmick【MFB-G ""Standard Bazooka""】",木炭商店,,
pool,No.57,,赤羽刀 無銘＋小羽守,木炭商店,,
pool,No.58,,シケモク君アバター,ぬまぼ屋さん,,
pool,No.59,,ワールド＆アバター用食べるギミック付き！アイス11種セット,おもちやさん,,
pool,No.60,,ジンベイザメのジンくん,ややの３D屋,,
pool,No.61,,幽玄金魚杖YuugenKingyoCane,仮想空間装飾品店NeRosa,,
pool,No.62,,ショップから好きなのを1点,仮想空間装飾品店NeRosa,,
pool,No.63,,イベント招待券,VR怪談ライブ Hauntopia,,
pool,No.64,,イベント招待券,VR怪談ライブ Hauntopia,,
pool,No.65,,ショップから好きなのを1点,雲丹亭,,
pool,No.66,,ショップから好きなのを1点,雲丹亭,,
pool,No.67,,ショップから好きなのを1点,雲丹亭,,
